N	COUNTRY	TITLE	URL	VIEWS	SUBSCRIBERS	VIDEOS	REGDATE
133	Украина	OneDayAlex	https://www.youtube.com/channel/UCIDMp2rLX4G5C6eiypl9SFA	2122857794	5460000	257	19 августа 2014 г.
134	Россия	Аминка Витаминка	https://www.youtube.com/channel/UCmCK7DVS30UnjZJq2McDuXA	3492340078	5430000	521	22 сентября 2015 г.
135		Алёна Венум	https://www.youtube.com/channel/UCdz8GhVazLFJCBS1JgzHAyQ	885994887	5380000	270	2 июня 2015 г.
136	Россия	AcademeG	https://www.youtube.com/channel/UC0lT9K8Wfuc1KPqm6YjRf1A	1347573735	5340000	711	27 декабря 2010 г.
137	Россия	Super Senya RU	https://www.youtube.com/channel/UCTn9Vyy-3fzLIr0bqhIbNig	2099235978	5340000	1762	12 июля 2019 г.
138	Беларусь	telblog.net	https://www.youtube.com/user/TelblogNet	1579582073	5320000	1993	1 марта 2014 г.
139	Россия	Nickelodeon Cyrillic	https://www.youtube.com/channel/UCw3vK8lNe5SZzL--rMgq-CQ	2732030882	5320000	1334	27 июля 2017 г.
140	США	Диана и Рома на русском	https://www.youtube.com/channel/UCfPok_HASE_qFmIi_eikU9g	2079887089	5270000	426	6 ноября 2019 г.
141	Казахстан	Симбочка Пимпочка	https://www.youtube.com/channel/UC4IPy7-vQCG2WAHn1qjZYvA	1490445961	5250000	294	16 апреля 2020 г.
142	Украина	Ольга Матвей	https://www.youtube.com/user/vkysnueveschi	800363913	5240000	1294	7 мая 2013 г.
143	Россия	Elli Di	https://www.youtube.com/channel/UCTl7rTGi0SROUH_zeXMS_fw	1380217272	5160000	497	2 февраля 2016 г.
144	Грузия	Guka Family Show	https://www.youtube.com/channel/UCjTtxUhrLl5Arwv1k36MS-g	1192592362	5150000	447	5 сентября 2015 г.
145	Россия	ВЛАДУС	https://www.youtube.com/user/VladusChannel	1790504451	5140000	2495	1 декабря 2013 г.
146	Украина	AuRuM TV	https://www.youtube.com/channel/UCh1lXfVnw2L4w8aBHrTy4zA	915047482	5140000	2692	28 ноября 2014 г.
147	Россия	FILMSTER	https://www.youtube.com/channel/UCOD2veMoMj5jy6K0pGt55Bw	1138810492	5110000	577	1 ноября 2016 г.
148	Россия	Gazgolder	https://www.youtube.com/user/gazgolder	3089180238	5100000	1952	28 ноября 2006 г.
149	Россия	SOBOLEV	https://www.youtube.com/channel/UCNb2BkmQu3IfQVcaPExHkvQ	688606629	5100000	282	17 октября 2015 г.
150	Россия	MOGOL TV	https://www.youtube.com/user/mogolvideo	769514529	5080000	495	26 мая 2014 г.
151	Россия	Robzi	https://www.youtube.com/channel/UCpFJWSlmXbQVgti5s49PkSg	1607784824	5040000	3932	7 февраля 2018 г.
